교통약자이동지원센터명,소재지도로명주소,소재지지번주소,위도,경도,보유차량대수,보유차량종류,슬로프형휠체어차량대수,리프트형휠체어차량대수,예약접수전화번호,예약접수인터넷주소,앱서비스명,평일예약접수운영시작시각,평일예약접수운영종료시각,주말예약접수운영시작시각,주말예약접수운영종료시각,차량평일운행시작시각,차량평일운행종료시각,차량주말운행시작시각,차량주말운행종료시각,사전예약신청기간,차량이용제한사항,차량관내운행지역,차량관외운행지역,차량이용대상,차량이용요금,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
부산광역시 특별교통총괄본부(부산시설공단),"부산광역시 연제구 중앙대로1226번길 18, 2층(거제동, 금샘빌딩)",부산광역시 연제구 거제동 163-10,35.19784977,129.0800058,181,스타렉스+올뉴카니발+카운티+쏠라티,172,9,051-466-8800,http://www.duribal.co.kr/,즉시콜,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"(창원지역 한정) 이용희망 전일 예약제(예약시간 09:00~16:00한정), 편도운행(단, 현지 대기시간 1시간 이내일 경우 왕복운행)",만취 후 이용시+화물 운송 목적+혼자 탑승이 불가능함에도 보호자를 동반하지 아니한 경우+요금을 지불하지 않는 경우+복지카드 또는 의사소견서 제시를 거부할 경우+상담원 및 운전원에게 욕설 폭언 폭행하는 경우+특별교통수단의 기물을 손괴하는 경우,부산광역시 전지역,김해+양산+창원,"중증장애인(기존1~3급)-시각, 신장, 뇌병변, 뇌전증(보호자 동반시), 지체(하지)+일시적 휠체어 탑승조건 상지 지체장애인(추가서류제출필요)+일시적 장애인으로 진단서 첨부된 휠체어이용자+65세이상 휠체어이용자면서 장기요양등급인정서(요양등급1~3급) 제출자+휠체어 탑승 복합 중증장애인+교통약자를 동반하는 가족 또는 보호자",기본요금 5km 1800원+이후요금 422m 102초당 100원 추가+시외운행시 시계외할증 20+유료도로 통행료 이용자 부담,부산광역시,051-888-3994,2021.10.26,6260000,부산광역시
진주시교통약자특별교통수단(일진교통),경상남도 진주시 내동면 독산리 525-1,,35.16988123,128.2064406,17,카니발휠체어슬로프,17,0,1566-4488,http://www.15664488.co.kr/,즉시콜,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,1일 전 21:00,,진주시 전역,경남 전역+부산지역 병원,장애 정도가 심한 장애인 중 보행상 장애가 있는 사람+65세 이상·임산부·영유아를 동반한 사람·일시적으로 휠체어를 이용하는 사람으로 대중교통수단의 이용이 어려운 사람+동반가족 및 보호자,"진주시 관내 : 기본요금 1,100원(2km)+주행 100원(286m)+시간요금 100원(68초)+관외지역 : 시외버스 요금의 2배",진주시,055-749-8724,2021.10.26,5310000,경상남도 진주시
진주시교통약자특별교통수단(동진택시),경상남도 진주시 선학산길 73,,35.18727147,128.1119228,17,카니발휠체어슬로프,17,0,1566-4488,http://www.15664488.co.kr/,즉시콜,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,1일 전 21:00,,진주시 전역,경남 전역+부산지역 병원,장애 정도가 심한 장애인 중 보행상 장애가 있는 사람+65세 이상·임산부·영유아를 동반한 사람·일시적으로 휠체어를 이용하는 사람으로 대중교통수단의 이용이 어려운 사람+동반가족 및 보호자,"진주시 관내 : 기본요금 1,100원(2km)+주행 100원(286m)+시간요금 100원(68초)+관외지역 : 시외버스 요금의 2배",진주시,055-749-8724,2021.10.26,5310000,경상남도 진주시
인천 교통약자 이동지원센터,인천광역시 미추홀구 매소홀로 618,인천광역시 미추홀구 문학동 482,37.43654516,126.6864606,169,카니발+스타렉스,141,28,1577-0320,www.intis.or.kr,없음,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,2일,1일2회 취소+3일3회취소,인천광역시 전지역,강서구+김포+부천+시흥,"보행상 장애를 가진 중증장애인+장애1~2급+3급 뇌병변, 하지지체장애안+휠체어이용자",기본요금 2Km까지 1200원+2Km 초과 10Km까지 1Km당 200원 추가+10Km 초과 시 5Km당 300원,인천광역시,032-440-3802,2021.10.25,6280000,인천광역시
성남시내버스(주) 택시사업부,경기도 성남시 중원구 순환로233,경기도 성남시 중원구 순환로233 4층,37.44407384,127.1785358,80,카니발,80,0,1577-1158,해당없음,,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,최소1일~7일전,유해 물품을 소지한 경우+휠체어 고정 장치의 결속을 거부하는 경우+안전벨트(고정벨트) 착용을 거부하는 경우+법정 전염병 환자 및 중병자가 승차하는 경우+안전사고가 발생할 수 있는 교통약자 승객단독으로 승차하는 경우+금지행위에 대하여 사업자 및 종사원의 제지 또는 안내에 따르지 않는 경우+휴대품의 중량 용적규격을 초과하거나 화물운송을 요구 하는 경우,성남시 전지역,경기+서울+인천,보행상장애인으로서 장애정도가 심한 장애인+기타 휠체어로 이동하는자(의사소견서),기본요금10km(1500원)+거리요금5km(100원),성남시 (대중교통과),031-729-3722,2021.10.20,3780000,경기도 성남시
전라남도지체장애인협회 보성군지회,전라남도 보성군 보성읍 현충로 186,,34.77417491,127.0865911,5,카니발,5,0,1899-1110,없음,없음,8:00,18:00,8:00,18:00,8:00,22:00,8:00,22:00,1일전,,보성군 전역,광주광역시+인접시군,장애인1~2급+장애인1~2급보호자+65세이상노약자(대중교통이용이 어려운자),기본요금 2km:500,보성군,061-850-5514,2021.10.25,4890000,전라남도 보성군
군산시 교통약자 이동지원센터,전라북도 군산시 소룡2길 51,전라북도 군산시 소룡동 1554-2,35.972906,126.6773154,24,그랜드 카니발,24,0,063-227-0002,www.0632270002.com,전라북도 광역이동지원센터 승객용 앱,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,이용일 기준 8일전부터 신청 전일 17시까지,,군산시 전역,전라북도 도내,장애인 및 휠체어 이용자 등 교통약자,"기본 700원, 추가1km 당 100원",전라북도 군산시,063-454-3783,2021.10.24,4670000,전라북도 군산시
교통약자이동지원센터,충청북도 옥천군 옥천읍 옥천동이로 36-11,충청북도 옥천군 옥천읍 장야리 224-3,36.29910067,127.580189,6,"스타렉스 1, 카니발 5",5,1,043-731-1026,없음,없음,8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,0:00,"장애의 정도가 심한 장애인, 만65세 이상 교통약자",관내일원,"대전, 금산, 영동, 보은","장애의 정도가 심한 장애인, 만65세 이상 교통약자","기본요금(5km까지 1,700원), 추가요금(1km 당 200원)",옥천군청,043-730-3538,2021.10.12,4430000,충청북도 옥천군
세종누리콜,세종특별자치시 연서면 아홉거리길 100,세종특별자치시 연서면 월하리 948-8,36.593688,127.283869,26,카니발+스타렉스+k5+니로ev,19,1,1899-9042,https://nuricall.sctc.kr/,세종누리콜(승객용),8:00,19:00,8:00,17:00,6:00,0:00,6:00,0:00,1~2일,1. 탑승시 이용자 확인을 위해 장애인등록증(복지카드) 또는 신분증 제시2. 차량 도착 후 10분 이내에 승차(10분 지나면 취소됨)3.안전을 위하여 승차 시 반드시 안전벨트 착용,관내,"천안시, 대전시, 공주시, 청주시","장애인복지법시행규직 제2조 제1항에 따른 장애의 정도가 심한 장애인으로서 대중교통 이용이 어려운 자, 65세 이상 노인으로 노인요양등급 1등급~3등급 판정을 받은 사람, 국가유공자 상이등급 1~3급에 해당하는 자. 영유아 동반 및 임산부는 의료기관에서 대중교통 이용이 어렵다는 증빙서류를 제출한 사람, 일시적으로 휠체어를 이용하는 자로서 의료기관이 발행한 대중교통 이용이 어렵다는 진단서를 제출한 자","기본요금1000원(기본거리:3km)+기본초과 1km당 200원+고속도로 및 유료도로 통행료, 주차료는 이용자부담",세종특별자치시,044-300-5516,2021.10.15,5690000,세종특별자치시
괴산군 교통약자 이동지원센터(장애인협회),충청북도 괴산군 괴산읍 읍내로3길 11,,36.80617067,127.7915432,2,"스타렉스 1대, 카니발 1대",2,0,043-832-7775,없음,없음,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,즉시 가능,,,,정도가 심한 장애인 중 거동이 불편한 자+65세 이상 노약자+임산부+교통약자를 동반하는 가족 및 보호자,택시요금의 50,괴산군,043-830-3569,2021.10.24,4460000,충청북도 괴산군
괴산군 교통약자 이동지원센터(모범운전자회),충청북도 괴산군 괴산읍 남산길 59,,36.80574942,127.8005846,2,카니발,2,0,043-834-0008,없음,없음,9:00,18:00,8:30,18:00,9:00,18:00,8:30,18:00,즉시 가능,,,,정도가 심한 장애인 중 거동이 불편한 자+65세 이상 노약자+임산부+교통약자를 동반하는 가족 및 보호자,택시요금의 50,괴산군,043-830-3569,2021.10.24,4460000,충청북도 괴산군
전라남도 지체장애인협회 곡성군지회,전라남도 곡성군 곡성읍 읍내14길 12-1,전라남도 곡성군 곡성읍 읍내리 261-12,35.28043576,127.2962815,4,특수승합차,0,3,061-363-8220,해당없음,,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,주말 및 공휴일의 경우 사전예약,,곡성군 전역,광주광역시전역+곡성 인접시군+전라북도 남원시,장애의정도가 심한 장애인으로 대중교통이용이 어려운 자+장애인으로서 휠체어를 이용하는 자+65세이상의 사람으로서 대중교통수단의 이용이 어려운 자+임산부로서 대중교통 이용이 어려운 자+일시적으로 휠체어를 이용하는 사람으로서 대중교통이용이 어려운 자+영유아(만0~5세)를 동반하는 가족 및 보호자,"기본 2km 500원, 추가 1km당 100원상한액 관내 시군버스요금+관외 시외버스요금, 심야(00:00~04:00)은 2배 적용",전라남도 곡성군,061-360-2671,2021.10.20,4860000,전라남도 곡성군
정선군교통약자이동지원센터,강원도 정선군 정선읍 녹송2길50,강원도 정선군 정선읍 애산리432-309,37.38230943,128.673439,5,카니발,5,0,1577-2014,http://call.gwd.go.kr,,9:00,18:00,9:00,18:00,7:00,22:00,7:00,21:59,최소 1일전,예약당일취소 또는 현장취소가 월 3회 초과 시 1개월 제한+비장애인만 승차하는 경우,정선군전지역,강원도내 전지역 강원도외는 상급병원방문시 가능,장애의 정도가 심한 장애인 중 보행불편 장애인+임산부+만65세이상 고령자 중 휠체어 이용자+교통약자를 동반하는 가족 및 보호자,"관내지역(기본 4㎞)기본요금 1,100원외 1Km당 100원 추가+관외지역 기본요금 1,100원외 1Km당 100원 추가+시설이용료(통행료,주차료등)와 대기료(1시간 무료,30분당 2,000원, 최대 4시간 대기가능)은 이용자 추가 부담",정선군(정선군장애인연합회),033-563-2401,2021.10.20,4290000,강원도 정선군
함안군교통약자콜택시(경남지체장애인연합회 함안군지회),경상남도 함안군 가야읍 중앙남길 70,경상남도 함안군 가야읍 말산리 185-1,35.27505859,128.4105797,8,그랜드스타렉스 및 카니발,6,2,1566-4488,http://www.15664488.co.kr,,9:00,23:59,9:00,23:59,9:00,23:59,9:00,17:00,0월,,경상남도,경상남도,심한장애인 중 보행상장애인 + 일시적으로 대중교통 이용 어려운 사람,"시외버스요금의 1.5배+관내는 2,200원",함안군,055-580-2394,2020.11.27,5400000,경상남도 함안군
의왕시 교통약자이동지원센터,경기도 의왕시 왕소나무길 29-15,경기도 의왕시 월암동 604,37.30274385,126.959074,11,카니발,11,0,031-462-8253,0,0,9:00,18:00,9:00,18:00,7:00,23:59,9:00,18:00,2일전,"1. 당일 예약시간 1시간이내 취소할 경우(당일이용및예약제한)2. 등록 대상자와 이용자가 다른경우(승차거부)3. 이용요금을 체납한 경우(납부시 까지 이용제한)4. 운전원에 대한 폭행,폭언 및 차량내에서 소란을 행사할 경우(1개월 이용제한, 재발할 경우 영구적 이용제한)5. 차량 도착후 10분이내에 승차하지 않는 횟수가 월3회 이상인 경우(1개월 이용제한)6.약시간 1시간 이내에 취소한 횟수가 월3회 이상인경우(1개월 이용제한)","안양,과천,군포","그외지역(서울,경기권)","1. 1급 또는 2급 장애인으로서 버스, 지하철 등 대중교통 이용이 어려운 사람2. 노인장기요양등급 1급,2급3. 65세 이상으로 버스, 지하철 등 대중교통 이용이 어려운 사람(진단서첨부)4. 그 밖에 혼자서 외출이 곤란하여 시장이 특별교통수단이 필요하다고 인정하 는 사람5. 제1호부터 제4호까지의 규정에 해당하는 교통약자를 동반하는 가족 및 보호자6. 관외 운행은 병원치료 목적에 한함","시 인근지역(의왕, 안양, 군포, 과천)기본1500원+인근지역 외 Km당 200원 추가(유료도로 통행료, 주차요금 등은 이용자 부담)",의왕도시공사,031-462-8253,2020.1.1,B552752,의왕도시공사
나주시 교통약자이동지원센터,전라남도 나주시 봉황로 49,전라남도 나주시 부덕동 452-5,34.98797799,126.728627,10,승합차,7,3,1899-1110,http://,,0:00,24:00:00,0:00,24:00:00,8:00,24:00:00,8:00,24:00:00,없음,이용대상자 이외 이용 금지,나주시 전지역,전라남도+광주광역시( 출발지 또는 목적지가 나주시인 경우),장애의 정도가 심한 장애인+65세 이상으로 대중교통 이용이 어려운 사람+임산부+일시적 휠체어 이용자+동반자 및 보호자 2인 이내,"2km 이내 500원, 1km 초과당 100원",전라남도 나주시,061-339-8832,2019.7.1,4830000,전라남도 나주시
서천군 교통약자 이동지원센터,"충청남도 서천군 서천읍 충절로81번길 7, 청림주상복합빌딩 1층7호",충청남도 서천군 서천읍 군사리 649-2,36.07484589,126.6914382,6,카니발,6,0,041-951-0774,없음,없음,9:00,18:00,0:00,0:00,9:00,18:00,0:00,0:00,실시간,"비장애인, 65세미만",서천군 전역,"관외: 충청남도 및 인접시도(서울,인천,대전,세종,경기,충북,전북)",.「장애인복지법 시행규칙」제2조제1항에 따른 제1급 또는 제2급 장애인으로서 버스 등의 이용이 어려운 자· 65세 이상의 사람으로서 버스 등의 이용이 어려운 사람· 교통약자를 동반하는 가족 및 보호자· 임산부 등 대중교통 이용이 어려운 사람,관내: 출발시~2km미만 1300원/출발지~2km 초과시 1300원+1km당 130원(상한액2600원)/추가요금: 대기료 30분당 2000원/관외: 출발지~2km미만 1300원/출발지~2km 초과시 1300원+1km당 260원,(사)한국지체장애인충남협회서천군지회,041-951-0774,2021.7.12,4580000,충청남도 서천군
(사)한국지체장애인협회 부여군지회,충청남도 부여군 규암면 흥수로 816,충청남도 부여군 규암면 내리 246-3,36.27331322,126.8712187,4,카니발,4,0,041-836-0700,미운영,,9:00,18:00,0:00,0:00,9:00,18:00,0:00,0:00,2일,,부여전역,대전+충청남도,중증장애1~2급+장애인임산부+교통약자를 동반하는 가족 및 보호자,"기본요금 : 2km이내 1,300원추가요금 : km당 130원최대요금 : 2,600원",부여군청,041-830-2278,2021.7.15,4570000,충청남도 부여군
평택시교통약자이동지원센터,"경기도 평택시 도일유통길 25 (도일동, 평택도시공사 1층)",경기도 평택시 도일동 1169-5 (평택도시공사 1층),37.03860497,127.1006698,49,카니발,49,0,031-651-4700,http://ggsts.gg.go.kr,경기도 광역 이동지원 시스템,9:00,18:00,9:00,18:00,0:00,23:59,0:00,23:59,1일 전,"이용(승차)거부 : 복지카드(신분증)등 증빙서의 제시 또는 관련 서류의 제출을 거부한 경우+실제 탑승인과 복지카드(신분증) 및 증빙서의 이용 대상자가 다를 경우+보호자 없이 탑승 시 안전상의 문제가 발생할 수 있다고 판단되는 경우+당일(1일) 제한 : 예약시간으로부터 1시간 이내 변경(출발지,목적지,탑승시간) 또는 예약을 취소한 경우+사전연락 없이 차량 도착 후 10분 이내에 미승차한 경우+1개월 제한 : 예약시간으로부터 1시간 이내 변경(출발",평택시 전지역,"서울+경기+인천+충청지역(단, 병원진료, 재활센터, 발달센터 및 복지센터 - 본인 진료목적 한정)+인접지역(시 경계 10km 이내) : 출퇴근 및 등하교 목적 이용가능",보행상의 장애인으로서 장애의 정도가 심한 장애인+국가유공자 상이 1~2급+대중교통 이용이 불가능하다는 종합병원에서 발급한 진단서를 제출한 사람+교통약자를 동반하는 가족 및 보호자 2인 이내 동승가능,"기본요금 10km당 1,200원+추가요금 5km당 100원(관·내외 요금 동일)+대기요금 및 유료도로 이용요금 : 무료+유료주차장 이용요금 : 이용자 부담",평택도시공사,031-8053-8800,2021.7.9,3910000,경기도 평택시
무주군교통약자이동지원센터,전라북도 무주군 무주읍 주계로 116,전라북도 무주군 무주읍 읍내리 210-2,36.00671051,127.662714,4,창림스타렉스슬로프장애인차,4,0,063-227-0002,해당없음,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,7일~3일전,,무주군 전지역,대한민국,보행이불편한자로서 이용등록된 자,기본요금 700원(2km)+거리요금 100원/1km,무주군 교통약자이동지원센터,063-322-9414,2021.7.10,4740000,전라북도 무주군
순창군 교통약자이동지원센터,전라북도 순창군 순창읍 장류로 407-11,,35.37765073,127.1468543,4,카니발,4,0,063-227-0002,www.0632270002.com,전라북도 광역이동지원센터 승객용앱,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,7일,"·이용신청 없이 운전원과 직접 연락하여 차량을 이용한 경우·무임승차를 한 경우·상담원, 운전원에 대하여 욕설·폭언·폭행·성적 희롱을 한 경우·방뇨, 오물투기 등 의도적으로 차량의 운행을 방해하는 경우·광역이동지원센터에 방문하여 무단으로 소란을 일으키거나 업무를 방해하는 경우·이용객과 동반할 목적이 아닌 비장애인을 동승시키는 경우·이용객과 동반할 목적이 아닌 비장애인을 동승시키는 경우(기간에 관계없이 2회 적발시)",순창군 전지역,권역(순창+남원+임실) 및 전국,"· 장애의 정도가 “심한 장애인” 중 대중교통 이용이 어려운자 (보행상 장애인)· 65세 이상으로 대중교통 이용이 어려운 자· 대중교통 이용이 어려운 임산부, 일시적 휠체어 이용자","· 권역내요금 : 기본요금 2km 700원+주행요금 km당 100원· 권역외요금 : 기본요금 2km 700원+주행요금 700m당 100원· 통행료 및 주차료 등 : 이용자 부담· 대기료 : 권역외 30분당 2,500원(1시간 무료), 전라북도 외 30분당 2,500원(2시간 무료)",순창군청,063-650-1338,2021.9.30,4770000,전라북도 순창군
의성군교통약자이동지원센터,경상북도 의성군 의성읍 잔보들길 130,경상북도 의성군 의성읍 철파리 418-6,36.3594974,128.6801537,4,그랜드카니발+올뉴카니발,4,0,054-833-2979,http://cafe.daum.net/1447--,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7일,이용고객이차량을예약하고비장애인만승차시키는경우+보호자의 동반탑승은 최초 탑승시 같이 동승하여야하며 중도에 보호자만 개별적으로 승하차하는경우+차량이용후요금납부를 거부하는 경우+상습적으로 차량예약을 취소하는경우,의성군 전지역,경상북도+대구광역시,1~2급장애인+3급장애인중 65세이상인자또는 대중교통 이용이 어려운자+임산부,"의성군관내지역 기본요금 1,300원(5km까지)5km초과시 1km당200원추가 한도5,000원+경상북도와대구광역시 행선지구간별 시외버스요금의 2배(의성,안계버스터미널요금기준)",경상북도 의성군청,054-830-6251,2021.9.30,5150000,경상북도 의성군
